service_id,date,exception_type
2,20250704,2
2,20250901,2
3,20250623,2
3,20250627,2
3,20250630,2
3,20250704,1
3,20250707,2
3,20250711,2
3,20250714,2
3,20250718,2
3,20250721,2
3,20250725,2
3,20250728,2
3,20250801,2
3,20250804,2
3,20250808,2
3,20250811,2
3,20250815,2
3,20250818,2
3,20250822,2
3,20250825,2
3,20250829,2
3,20250901,1
3,20250905,2
3,20250908,2
3,20250912,2
3,20250915,2
3,20250919,2
3,20250922,2
3,20250926,2
3,20250929,2
3,20251003,2
3,20251006,2
3,20251010,2
3,20251013,2
3,20251017,2
6,20250623,2
6,20250630,2
6,20250707,2
6,20250714,2
6,20250721,2
6,20250728,2
6,20250804,2
6,20250811,2
6,20250818,2
6,20250825,2
6,20250901,1
6,20250908,2
6,20250915,2
6,20250922,2
6,20250929,2
6,20251006,2
6,20251013,2
6,20251020,2
7,20250627,2
7,20250704,1
7,20250711,2
7,20250718,2
7,20250725,2
7,20250801,2
7,20250808,2
7,20250815,2
7,20250822,2
7,20250829,2
7,20250905,2
7,20250912,2
7,20250919,2
7,20250926,2
7,20251003,2
7,20251010,2
7,20251017,2
7,20251024,2
U,20250901,1
U,20250704,1
W,20250901,2
W,20250704,2
